iter	Passed	Remaining
580	2059	1340
581	2064	1337
582	2069	1334
583	2072	1330
584	2075	1326
585	2078	1323
586	2082	1319
587	2086	1316
588	2089	1312
589	2092	1308
590	2095	1305
591	2099	1301
592	2102	1297
593	2105	1293
594	2107	1289
595	2110	1285
596	2115	1282
597	2118	1278
598	2120	1274
599	2124	1271
600	2127	1267
601	2131	1264
602	2134	1260
603	2137	1256
604	2140	1252
605	2143	1248
606	2147	1245
607	2150	1241
608	2153	1237
609	2155	1233
610	2158	1229
611	2162	1226
612	2165	1222
613	2168	1218
614	2171	1214
615	2174	1210
616	2179	1208
617	2182	1204
618	2185	1200
619	2188	1196
620	2191	1192
621	2195	1189
622	2198	1185
623	2217	1190
624	2220	1186
625	2223	1182
626	2226	1179
627	2229	1175
628	2232	1171
629	2235	1167
630	2238	1163
631	2240	1159
632	2245	1156
633	2248	1152
634	2250	1148
635	2253	1144
636	2256	1140
637	2260	1137
638	2263	1133
639	2266	1129
640	2269	1125
641	2272	1121
642	2276	1118
643	2279	1114
644	2282	1111
645	2285	1107
646	2288	1103
647	2293	1100
648	2295	1096
649	2298	1092
650	2301	1088
651	2304	1085
652	2310	1082
653	2314	1079
654	2318	1075
655	2321	1072
656	2324	1068
657	2328	1065
658	2332	1061
659	2336	1058
660	2341	1055
661	2345	1052
662	2347	1048
663	2350	1044
664	2354	1040
665	2357	1037
666	2360	1033
667	2363	1029
668	2366	1025
669	2370	1022
670	2373	1018
671	2376	1015
672	2379	1011
673	2383	1007
674	2387	1004
675	2391	1001
676	2395	997
677	2398	993
678	2402	990
679	2405	987
680	2408	983
681	2411	979
682	2414	975
683	2417	972
684	2421	968
685	2423	964
686	2426	960
687	2429	957
688	2432	953
689	2436	949
690	2438	945
691	2441	942
692	2444	938
693	2447	934
694	2451	931
695	2454	927
696	2457	923
697	2459	919
698	2462	915
699	2464	911
700	2468	908
701	2471	904
702	2473	900
703	2477	897
704	2479	893
705	2484	890
706	2488	886
707	2491	883
708	2494	879
709	2499	876
710	2502	872
711	2505	869
712	2508	865
713	2510	861
714	2513	857
715	2517	854
716	2520	850
717	2523	846
718	2526	843
719	2529	839
720	2533	836
721	2536	832
722	2539	828
723	2542	825
724	2546	821
725	2549	818
726	2552	814
727	2556	811
728	2559	807
729	2563	804
730	2566	800
731	2570	797
732	2573	793
733	2578	790
734	2581	786
735	2584	783
736	2587	779
737	2590	775
738	2594	772
